row_id,source_system,reported_by,reported_by_tax_id,reported_by_country,declared_supplier,declared_supplier_tax_id,declared_supplier_country,relationship_type,last_updated,notes
29,portal_v1,Crestwood Group Ltd,GB59512698,UK,millbrook tooling sarl,671609145861330,MA,Raw Material,2022-03-29,Fornecedor homologado em 2023
30,portal_v2,Oakridge Fasteners Lda,PT175750309,Portugal,WESTPORT TRADING A.Ş.,9238434939,Türkiye,RAW_MATERIAL,19/04/2022,Fornecedor homologado em 2023
31,portal_v1,sunrise leather sarl,FR17861973435,FR,Millbrook  Solutions  Lda. ,,PT,raw_material,2024-01-11,Fournisseur validé lors de l'audit 2022
32,portal_v2,HORIZON MANUFACTURING AG,,Germany,united foundry lda.,PT323269615,PT,raw material,10/03/2024,Pending re-confirmation
33,portal_v2,Premier Dyeworks A.Ş.,6954004320,TR,Crestwodo Chemicals S.p.A.,,Italia,dyeing,,
34,portal_v2,vantage circuits s.p.a.,IT53333151593,Italia,LAKESIDE FOUNDRY SP. Z O.O.,PL0346729503,Poland,materia prima,29/01/2025,Contact information outdated
35,portal_v2,Bluewater Manufacturing S..rl.,IT10862914220,Italia,"Northgate Polymers Co. ,Ltd.",0TNTW3356HT9DCDKZ7,CN,materia prima,27/03/2025,Şirket 2021'de denetlendi
36,portal_v2,"United Assemblies Co. ,Ltd.",6926242393,Vietnam,Iberian Dyeworks Inc,38-4972853,USA,component,15/07/2023,
37,portal_v2,Baltic  Trading  Ltd. ,GB261367723,United Kingdom,Millbrook  Machinery  Lda. ,PT95520705,Portugal,components,23/08/2022,
38,legacy_manual_import,nordic fibers sas,32114540305,FR,"Westport  Leather  Co.,  Ltd. ",6M9BNZNYHPA3BGKNER,CN,materia prima,02-14-2025,
39,portal_v2,Anatolian  Metals  SARL ,FR62182564559,France,Horizon Solutions Sp z oo,PL4837332964,Polska,logistics,07/08/2022,Pending re-confirmation
40,portal_v2,westport electronics sarl,394225258329500,MA,HIGHLAND MACHINERY LTD.,,UK,subcontracted_labor,09/09/2023,Şirket 2021'de denetlendi
41,legacy_manual_import,NORDIC MATERIALS GMBH,DE502141043,DE,nordic materials gmbh,,DE,finishing,09-06-2022,
42,legacy_manual_import,westport electronics sarl,394225258329500,MA,SUNRISE LEATHER SARL,FR17861973435,France,Raw Material,02-15-2023,
43,portal_v2,Pacific Coatings Ltd,GB202514640,GB,Iberian  Coatings  SAS ,FR67464629486,FR,packaging,09/07/2023,
44,portal_v2,Oakridge Plastics Pvt. Ltd.,94HXCVS3375A1Z5,India,united electronics lda.,PT936220143,PT,component,28/05/2022,Société certifiée ISO 9001
45,legacy_manual_import,"summit machinery co., ltd.",9402555543,VN,Highland Fibers Ltd,GB289869081,GB,component,07-02-2025,Fornecedor homologado em 2023
46,portal_v2,Alpine  Materials  Ltd. ,GB409940422,United Kingdom,"PRIME ELECTRONICS CO., LTD.",,China,dyeing,02/02/2024,
47,portal_v1,Anatolian Yarns Sp. z o.o.,PL0677017673,Polska,ALPINE CHEMICALS SARL,663846623328168,Maroc,dyeing,2025-06-20,
48,portal_v2,RHINE TOOLING AG,,DE,SILVERLINE CHEMICALS SAS,FR67254489366,FR,components,20/05/2025,Duplicate of prior quarter submission
49,portal_v2,pacific machinery lda.,PT721441525,PT,Continental Electronics S.r.l.,IT75114459232,IT,raw_material,06/08/2023,
50,portal_v2,Iberian Tooling Srl,IT66369023642,Italia,continental group sarl,57 5538294401555,Morocco,RAW_MATERIAL,04/11/2023,
51,portal_v2,pacific machinery lda.,PT72144525,PT,CONTINENTAL ELECTRONICS S.R.L.,IT75114459232,IT,packaging,01/11/2023,Contact information outdated
52,portal_v1,Nordci Materials GmbH,de502141043,Deutschland,horizon metals sp. z o.o.,PL4768445880,PL,materia prima,2023-07-31,
53,portal_v2,Meridian Fasteners Ltd.,GB212776106,GB,nordic fibers sas,FR32114540305,France,dyeing,08/06/2023,Contrato renovado según acuerdo marco
54,legacy_manual_import,SOUTHBAY LOGISTICS S.R.L.,IT40684690723,IT,"Golden  Packaging  Co.,  Ltd. ",YMG5T5QGXJM11UYNRE,CN,materia prima,02-14-2022,Şirket 2021'de denetlendi
55,portal_v1,Atlantic  Logistics  S.r.l. ,IT0407714528,Italy,Apex Circuits SpA,it59296256706,Italia,logistics,2023-04-17,
56,portal_v2,Premier  Dyeworks  A.Ş. ,6954004320,Türkiye,MILLBROOK FIBERS PVT. LTD.,84WSTJK5150A1Z5,India,Raw Material,27/06/2024,
57,portal_v1,Cretswood Group Ltd.,,United Kingdom,Redstone Chemicals AŞ,,TR,packaging,2023-12-16,Fornecedor homologado em 2023
58,portal_v2,Atlantic Logistics Srl,IT04077145284,IT,BLUEWATER MANUFACTURING S.R.L.,IT10862914220,Italy,materia prima,27/12/2024,Duplicate of prior quarter submission
59,legacy_manual_import,Silverline  Chemicals  SAS ,FR67254489366,FR,Riverside  Metals  Inc. ,,US,packaging,04-20-2023,
60,portal_v2,andean leather pvt. ltd.,02HCGCH6332A1Z5,IN,Vantage Textiles S.A.,ES30633873E,Espagne,subcontracted_labor,30/01/2022,Confirmación pendiente por parte del proveedor
61,portal_v2,DANUBE COMPONENTS SP. Z O.O.,PL8781446242,Poland,RiversideC hemicals S.p.A.,IT17291807684,Italy,packaging,28/03/2023,
62,legacy_manual_import,Westport  Electronics  SARL ,394225258329500,Maroc,Iberian  Machinery  Ltd. ,,UK,component,09-08-2022,Fournisseur validé lors de l'audit 2022
63,portal_v2,"Meridian Foundry Co., Ltd.",6936664761,Vietnam,OAKRIDGE PLASTICS PVT. LTD.,94HXCVS3375A1Z5,India,logistics,,
64,portal_v2,Summit Trading ASRL,FR44034462491,FR,Horizon Polymers Sp. z o.o.,PL0171072146,Poland,Raw Material,05/09/2025,Duplicate of prior quarter submission
65,portal_v2,Gloabl Ceramics Sp. z o.o.,PL5131340444,Polska,horizon components lda.,PT115345152,PT,materia prima,16/05/2022,"Data provided via phone, not verified"
66,legacy_manual_import,Atlantic Logistics S.r.l.,IT04077145284,Italy,Bluewater Manufacturing S.r.l.,IT10862914220,IT,Raw Material,07-08-2024,
67,legacy_manual_import,Southbay Electronics SARL,346652635766034,Maroc,Westoprt Electronics SARL,394225258329500,MA,Raw Material,06-13-2022,
68,legacy_manual_import,Highland  Components  SAS ,FR34285656538,FR,Northgate Assemblies Inc.,55-3358029,US,component,06-29-2025,
69,portal_v2,vantage circuits s.p.a.,IT53333151593,Italy,Lakeside Foundry Sp. z o.o.,PL0346729503,PL,component,09/09/2025,Confirmación pendiente por parte del proveedor
70,legacy_manual_import,southbay leather b.v.,,Holland,"IRONGATE CERAMICS CO., LTD.",2309407591,Vietnam,finishing,01-18-2023,"Data provided via phone, not verified"
71,portal_v2,Redstone Chemiacls Lda.,,PT,Horizon Alloys SARL,,MA,materia prima,13/01/2025,
72,legacy_manual_import,Anatolian Machinery A.Ş.,3715490387,TR,BLUEWATER DYEWORKS SAS,,France,dyeing,12-27-2022,
73,portal_v2,meridian yarns sp. z o.o.,PL8435722373,Poland,millbrook alloys ag,DE251791722,DE,logistics,,
74,portal_v2,"UNITED ASSEMBLIES CO., LTD.",,VN,anatolian polymers sarl,413403018954648,Maroc,raw material,25/01/2022,Duplicate of prior quarter submission
75,portal_v1,Alpine Weaving S.L.,ES88454746C,Spain,Batlic Fibers Ltd.,GB655823297,GB,subcontracted_labor,2024-05-15,
76,portal_v1,Summit Metals Lda.,PT182309739,Portugal,Iberian  Electronics  SARL ,706239917751423,MA,packaging,2023-09-02,Fornecedor homologado em 2023
77,portal_v2,Cornerstone  Alloys  B.V. ,NL683629854B33,NL,Royal Machinery Inc.,22-7342425,US,subcontracted_labor,,Fornecedor homologado em 2023
78,portal_v2,Southbay  Electronics  S.A. ,ES7833840D,Espagne,bluewater tooling pvt. ltd.,,India,component,21/09/2022,
79,portal_v2,vantage alloys sarl,,Maroc,Silverline  Materials  SAS ,,FR,components,13/06/2024,
80,portal_v1,nordic fibers sas,32114540305,FR,"Westport  Leather  Co.,  Ltd. ",6M9BNZNYHPA3BGKNER,CN,raw material,2023-11-28,
81,portal_v1,Meridian Yarns Sp z oo,PL8435722373,PL,Millbrook Alloys AG,DE251791722,Germany,raw material,2025-08-08,Fournisseur validé lors de l'audit 2022
82,portal_v2,nordic fibers sas,FR32114540305,France,"Westport Leather Co., Ltd.",6M9BNZNYHPA3BGKNER,China,dyeing,25/09/2022,
83,legacy_manual_import,Continental  Fasteners  SARL ,524296237088409,Maroc,"Global  Plastics  Co.,  Ltd. ",7PQ2DJE7EWKPVSC0BR,China,dyeing,08-01-2024,
84,portal_v2,IBERIAN MATERIALS AG,DE817466807,Germany,"Copperfield  Foundry  Co.,  Ltd. ",0269417482,Vietnam,finishing,18/12/2024,
85,portal_v2,Rhine  Tooling  AG ,DE535425961,DE,baltic foundry b.v.,NL127387209B07,Holland,packaging,18/06/2023,Backup supplier - low volume
86,portal_v2,vantage alloys sarl,193008687593586,MA,Irongate  Industries  S.r.l. ,IT62370499022,IT,logistics,26/02/2023,
87,portal_v2,Danube Components Sp. z .oo.,PL8781446242,PL,STONEBRIDGE TOOLING SARL,251361799399069,Morocco,raw_material,19/07/2022,Backup supplier - low volume
88,portal_v2,eastfield alloys gmbh,DE413376973,Deutschland,TBD,3529838408,Vietnam,dyeing,31/01/2022,
89,portal_v2,Meridian  Fasteners  Ltd. ,GB212776106,United Kingdom,Northgate Stele A.Ş.,6256180218,TR,packaging,24/10/2023,
90,portal_v1,"andean leather co., ltd.",DNCWF820JL0Q221BH9,CN,"Meirdian Foundry Co., Ltd.",6936664761,Vietnam,subcontracted_labor,2022-08-23,
91,portal_v2,NorthGate  Textiles  S.A. ,,ES,Continental Fasteners SARL,524296237088409,Morocco,packaging,14/04/2022,
92,portal_v2,crestwood metals sarl,976694569801375,MA,Horizon  Manufacturing  AG ,DE431839337,Germany,subcontracted_labor,18/01/2025,Contact information outdated
93,portal_v2,Crestwood  Metals  SARL ,976694569801375,MA,Horizon Manufactuirng AG,DE431839337,Deutschland,logistics,14/12/2024,
94,portal_v2,Horizon Manufacturing AG,DE431839337,DE,Royal Dyeworks Inc.,,US,packaging,05/01/2023,
95,portal_v2,Summit  Trading  SARL ,,France,Horizon Polymers Sp.  zo.o.,PL0171072146,Poland,components,22/08/2023,
96,portal_v2,united leather sp. z o.o.,PL084633592,PL,premier materials sp. z o.o.,PL5659235740,Polska,packaging,,
97,portal_v2,Horizon Dyeworks AŞ,5797626609,Türkiye,###,1043205340,VN,RAW_MATERIAL,27/08/2023,
98,legacy_manual_import,Westprot Trading A.Ş.,92384-34939,Turkey,"Crestwood Yarns Co., Ltd.",QDTRK1B2ZX2X1DSSZM,CN,Raw Material,01-04-2022,Şirket 2021'de denetlendi
99,portal_v2,Global Alloys ASRL,,FR,Copperfield  Metals  A.Ş. ,991536797,Türkiye,RAW_MATERIAL,05/02/2022,
100,portal_v2,"United  Assemblies  Co.,  Ltd. ",6926242393,VN,Iberian  Dyeworks  Inc. ,38-4972853,USA,dyeing,,
101,portal_v1,global alloys sarl,FR02653954607,FR,Pacific Meatls Inc.,11-7347262,USA,Raw Material,2024-09-25,Contact information outdated
102,portal_v2,Alpine Weaving SL,ES88454746C,Espagne,"PACIFIC MACHINERY CO., LTD.",4Z7XKKST8VZHE9JLQ5,China,dyeing,28/05/2025,
103,portal_v1,global alloys sarl,FR0265395467,FR,Baltic Tarding Ltd.,GB261367723,UK,packaging,2023-06-06,
104,portal_v2,MERIDIAN FASTENERS LTD.,GB212776106,UK,EASTFIELD COMPONENTS SARL,FR58653776073,France,subcontracted_labor,30/11/2023,Fournisseur validé lors de l'audit 2022
105,portal_v1,iberian machinery ltd.,GB91011652,United Kingdom,DANUBE COMPONENTS SP. Z O.O.,PL8781446242,Polska,Raw Material,2024-08-10,
106,legacy_manual_import,rhine tooling ag,DE535425961,Germany,Alpine Coatings SARL,102439281045618,MA,packaging,02-12-2025,Duplicate of prior quarter submission
107,legacy_manual_import,Pacific Machniery Lda.,PT 721441525,PT,Continental Electronics Srl,,IT,packaging,03-28-2022,
108,portal_v1,Atlantic  Logistics  S.r.l. ,IT04077145284,Italia,Southbay  Yarns  A.Ş. ,0992964398,Turkey,raw material,2022-04-23,Société certifiée ISO 9001
109,portal_v2,Copperfield Group SL,,Espagne,"nordic steel co., ltd.",8GD5XVJXREAEQ92CHW,CN,component,10/05/2025,Fornecedor homologado em 2023
110,portal_v2,highland machinery ltd.,GB485329247,GB,Danube Plastics Ltd,GB286174002,GB,raw_material,18/07/2023,
111,portal_v2,Global  Electronics  S.A. ,ES50165258A,España,Silverline Componetns SAS,FR42403927449,FR,components,30/12/2024,Backup supplier - low volume
112,legacy_manual_import,Royal  Machinery  Inc. ,22-7342425,United States,Apex Ceramics Sp z oo,PL5983766493,Polska,components,05-02-2023,Contact information outdated
113,portal_v2,Highland Plastics S.p.A.,IT24406348066,IT,Redstone Chemiacls Lda.,,Portugal,dyeing,24/09/2023,"Data provided via phone, not verified"
114,portal_v2,Redstone Chemiacls Lda.,,Portugal,Vantage  Industries  GmbH ,,Germany,finishing,04/07/2022,
115,portal_v1,Anatolian Machienry A.Ş.,3715490387,Türkiye,Bluewater Dyweorks SAS,FR60253625246,France,logistics,2023-08-17,Contrato renovado según acuerdo marco
116,legacy_manual_import,Oakridge  Fasteners  Lda. ,PT175750309,Portugal,Alpine  Trading  SARL ,274958225941535,Morocco,component,01-27-2024,
117,portal_v2,WESTPORT ELECTRONICS SARL,394225258329500,MA,Highland Machinery Ltd,485329247,United Kingdom,finishing,31/08/2024,
118,portal_v2,Oakridge  Logistics  A.Ş. ,7963609841,Turkey,Meridian  Weaving  Pvt.  Ltd. ,,India,component,14/03/2025,
119,legacy_manual_import,"MERIDIAN FOUNDRY CO., LTD.",6936664761,VN,oakridge plastics pvt. ltd.,94HXCVS3375A1Z5,India,components,10-01-2024,
120,portal_v2,NorthGate  Textiles  S.A. ,,ES,Vantage Alloys SARL,193008687593586,Morocco,Raw Material,07/09/2025,Société certifiée ISO 9001
121,portal_v2,Nordci Materials GmbH,DE50241043,DE,HORIZON METALS SP. Z O.O.,PL4768445880,Poland,components,09/10/2024,
122,portal_v1,andean assemblies s.p.a.,IT38826320735,Italia,PACIFIC MACHINERY LDA.,PT316553290,PT,raw material,2025-04-28,
123,portal_v2,Vantage  Alloys  S.r.l. ,IT12170074530,IT,GLOBAL YARNS A.Ş.,9960677129,TR,raw material,29/06/2022,Contrato renovado según acuerdo marco
124,portal_v2,northgate textiles s.a.,ES60227680G,Espagne,golden tooling sp. z o.o.,,Polska,subcontracted_labor,03/03/2025,
125,portal_v2,Summit Tooling S.L.,ES17820269F,España,danube plastics s.a.,ES39891810F,España,packaging,25/10/2024,"Data provided via phone, not verified"
126,portal_v2,southbay electronics s.a.,ES78333840D,Espagne,Apex Coatings Lda,PT541466438,PT,RAW_MATERIAL,18/03/2025,Şirket 2021'de denetlendi
127,legacy_manual_import,Highland Machinery tLd.,485329247,United Kingdom,Danub ePlastics Ltd.,GB286174002,GB,raw_material,11-26-2024,
128,legacy_manual_import,SOUTHBAY LOGISTICS S.R.L.,IT40684690723,Italy,"Golden Packaging Co, Ltd",YMG5T5QGXJM11UYNRE,CN,Raw Material,01-27-2024,
129,legacy_manual_import,highland weaving a.ş.,8152837670,Türkiye,horizon packaging s.a.,ES71747066G,Espagne,Raw Material,06-28-2022,
130,portal_v2,Northgate Circuits Ltd.,GB715429489,GB,"Stonebridge Machinery Co., Ltd.",5P1Y30A5PDSXVR247B,CN,packaging,04/11/2024,Contrato renovado según acuerdo marco
131,portal_v2,IBERIAN MATERIALS AG,DE81746680,DE,"MILLBROOK CIRCUITS CO., LTD.",,CN,raw_material,07/06/2022,Şirket 2021'de denetlendi
132,legacy_manual_import,Andean Assemblies .Sp.A.,,IT,Copperfield Group S.L.,ES02793116B,España,RAW_MATERIAL,01-07-2025,Contact information outdated
133,portal_v2,Westoprt Electronics SARL,,MA,Cornerstone  Assemblies  S.L. ,ES19687479E,Espagne,dyeing,17/08/2025,
134,portal_v1,Oakridge Plastics Pvt. Ltd.,94HXCVS3375A1Z5,IN,Sunrise Plastics SARL,891377623634474,MA,Raw Material,2023-06-06,
135,portal_v1,Prime Polymers S.L.,ES49180374G,España,"Meridian Yarns Co., Ltd.",2407709660,VN,logistics,2024-05-22,
136,portal_v2,WESTPORT ELECTRONICS SARL,394225258329500,Morocco,Cornerstone Assemblise S.L.,ES19687479E,Espagne,raw_material,24/04/2022,
137,legacy_manual_import,Meridian Yarns Sp z oo,PL8435722373,Poland,Millbrook  Alloys  AG ,DE251791722,Germany,packaging,09-17-2025,
138,legacy_manual_import,irongate alloys a.ş.,6888337780,Turkey,ROYAL COATINGS S.L.,,Espagne,Raw Material,11-13-2024,
139,portal_v2,rhine tooling ag,,Germany,Highland Mcahinery SARL,172575982337100,MA,materia prima,09/01/2024,
140,portal_v1,Highland Components SAS,FR34285656538,France,Northgat eAssemblies Inc.,553358029,United States,RAW_MATERIAL,2024-11-14,
141,portal_v2,Horizon Alloys SARL,381866192115924,MA,LAKESIDE PACKAGING S.L.,61385815B,Espagne,raw material,20/02/2022,segÃºn acuerdo
142,portal_v2,rhine packaging lda.,PT928840726,Portugal,Irongate Logistics B.V.,NL511393683B38,Netherlands,packaging,26/01/2022,
143,legacy_manual_import,"Meridian Foundry Co, Ltd",6936664761,VN,"redstone plastics co., ltd.",2677094459,Vietnam,finishing,05-20-2023,
144,portal_v2,Anatolian  Yarns  Sp.  z  o.o. ,PL0677017673,Poland,Alpine Chemicals SARL,663846623328168,MA,finishing,,
145,portal_v2,Silverline  Chemicals  SAS ,FR67254489366,France,Oakridge  Group  Sp.  z  o.o. ,PL8531929520,Polska,finishing,01/01/2024,Pending re-confirmation
146,portal_v1,Silverline eLather S.L.,,Spain,BLUEWATER FOUNDRY S.A.,ES36831880C,España,logistics,2025-09-30,"Data provided via phone, not verified"
147,portal_v2,Vantage Allosy SARL,193008687593586,Maroc,Vantage  Assemblies  SAS ,FR03191475196,France,dyeing,20/07/2022,Duplicate of prior quarter submission
148,portal_v2,"Highland Tooling Co, Ltd",G9GDNTQUXZJWLN2EV6,CN,Golden Chemicals SAS,,France,components,,"Data provided via phone, not verified"
149,portal_v2,IBERIAN MATERIALS AG,DE817466807,Germany,"copperfield foundry co., ltd.",,VN,RAW_MATERIAL,28/08/2023,Fornecedor homologado em 2023
150,portal_v2,Permier Dyeworks A.Ş.,6954004320,TR,Millbrook  Fibers  Pvt.  Ltd. ,84WSTJK5150A1Z5,India,raw_material,15/06/2023,
151,legacy_manual_import,continental fasteners sarl,524296237088409,Morocco,United Machinery Ltd.,GB286459114,UK,finishing,05-20-2025,
152,portal_v2,rhine packaging lda.,PT928840726,PT,Global  Ceramics  Sp.  z  o.o. ,PL531340444,PL,materia prima,21/09/2024,Contrato renovado según acuerdo marco
153,portal_v2,oakridge fasteners lda.,PT175750309,PT,Premier  Coatings  A.Ş. ,4752892539,Türkiye,Raw Material,19/12/2024,
154,portal_v1,Nordic  Materials  GmbH ,DE502141043,DE,"Atlantic Steel Co., Ldt.",6809149499,VN,components,2024-10-01,
155,portal_v2,alpine coatings sarl,102439281045618,MA,Westport  Yarns  SAS ,,France,materia prima,24/02/2023,Pending re-confirmation
156,portal_v2,united chemicals ltd.,,United Kingdom,ANATOLIAN MACHINERY A.Ş.,,TR,Raw Material,27/03/2022,
157,portal_v1,Continental Group SARL,,Morocco,OAKRIDGE PACKAGING SAS,FR69577944501,France,logistics,2023-08-31,
158,portal_v1,Global Ceramics Sp z oo,,Polska,Nordic Ceramics S.L.,ES28842673D,ES,component,2024-08-30,
159,portal_v1,"United  Assemblies  Co.,  Ltd. ",6926242393,Vietnam,ANATOLIAN POLYMERS SARL,413403018954648,Morocco,materia prima,2023-12-24,Contrato renovado según acuerdo marco
160,portal_v2,NorthGate  Textiles  S.A. ,60227680G,España,Global Electronics S.A.,ES50165258A,Spain,components,02/11/2024,
161,portal_v2,SILVERLINE LEATHER S.L.,ES95639376A,Spain,BLUEWATER FOUNDRY S.A.,ES36831880C,España,materia prima,08/02/2025,segÃºn acuerdo
162,portal_v1,Danube Components Sp z oo,PL8781446242,Polska,Riverside  Chemicals  S.p.A. ,IT17291807684,Italy,raw material,2024-05-20,Contrato renovado según acuerdo marco
163,portal_v2,Silverline Leather SL,ES95639376A,Spain,Bluewater Foundry SA,,ES,logistics,21/04/2024,
164,portal_v2,"HIGHLAND TOOLING CO., LTD.",G9GDNTQUXZJWLN2EV6,China,Silverline  Leather  S.L. ,ES95639376A,Spain,raw_material,23/05/2025,
165,portal_v2,WESTPORT TRADING A.Ş.,9238434939,Türkiye,Horizon Machinery SpA,IT93706601345,Italy,logistics,30/07/2025,
166,portal_v1,Silvreline Chemicals SAS,fr67254489366,France,"Lakeside  Packaging  Co.,  Ltd. ",6606551693,VN,components,2022-05-08,
167,portal_v2,Alpine  Coatings  SARL ,102439281045618,Morocco,Bluewater Industries A.Ş.,224924184,Turkey,components,28/07/2025,
168,portal_v2,Baltic Foundry BV..,NL 127387209B07,Holland,ATLANTIC TRADING B.V.,NL274449316B37,NL,Raw Material,06/06/2024,
169,legacy_manual_import,Sunrise Leahter SARL,FR17861973435,FR,irongate steel ag,DE851882729,Germany,component,08-01-2022,
170,portal_v2,(sin nombre),,Holland,vantage circuits s.p.a.,IT53333151593,IT,raw material,15/01/2024,
171,portal_v2,Rhine Tooling AG,DE535425961,DE,PACIFIC COATINGS LTD.,GB 202514640,UK,Raw Material,13/07/2025,
172,portal_v2,oakridge plastics pvt. ltd.,94HXCVS3375A1Z5,India,United Eletcronics Lda.,,PT,Raw Material,,
173,legacy_manual_import,NordicF ibers SAS,FR32114540305,FR,SOUTHBAY ELECTRONICS SARL,346652635766034,MA,raw_material,03-06-2022,
174,legacy_manual_import,Copperfield Dyeworks Pvt. Ltd.,56IJOUL3230A1Z5,India,alpine materials ltd.,GB409-940422,UK,finishing,12-01-2024,segÃºn acuerdo
175,portal_v2,nordic materials gmbh,,DE,NORTHGATE TRADING S.A.,,Spain,raw material,,
176,portal_v1,Meridian Fasteners Ltd,,United Kingdom,Anatloian Yarns Sp. z o.o.,PL0677017673,Poland,components,2024-05-08,
177,portal_v2,Oakridge  Fasteners  Lda. ,PT175750309,Portugal,Horizon Solutions Lda.,PT196215509,Portugal,component,03/11/2023,
178,portal_v2,"united assemblies co., ltd.",6926242393,Vietnam,Iberian Dyeworsk Inc.,-4972853,United States,logistics,26/04/2022,Pending re-confirmation
179,portal_v2,Pacific Meatls Inc.,11-7347262,US,"Premier Metals Co, Ltd",NWJ0XPEEVPEXGSBTWU,China,materia prima,03/07/2022,Fournisseur validé lors de l'audit 2022
180,portal_v1,Danube Components Sp. z o.o.,pl8781446242,Polska,Stonebridge Tooling SARL,251361799399069,MA,component,2022-06-23,
181,portal_v2,northgate machinery ltd.,GB144982519,United Kingdom,Oakridge Assemblie sInc.,65-4137672,United States,component,24/11/2023,Şirket 2021'de denetlendi
182,portal_v2,global electronics s.a.,ES50165258A,Espagne,"redstone plastics co., ltd.",2955705581,VN,raw material,20/04/2023,
183,portal_v1,"prime electronics co., ltd.",VE 8QMU72MHTLP9NJ96,China,alpine fibers gmbh,,Germany,packaging,2023-08-12,
184,portal_v2,Anatolian  Metals  SARL ,FR62182564559,France,Horizon Solutions Sp z oo,PL4837332964,Polska,logistics,07/08/2022,Pending re-confirmation
