row_id,source_system,customer_entity_id,customer_canonical_name,customer_core_name,customer_suffix,customer_tax_id,customer_country,supplier_entity_id,supplier_canonical_name,supplier_core_name,supplier_suffix,supplier_tax_id,supplier_country,relationship_type_norm,last_updated_iso,notes
25,portal_v2,E223,Horizo nAlloys SARL,horizo nalloys,sarl,,MA,E356,Oakridge Textiles BV,oakridge textiles,bv,NL886154196B97,,logistics,2022-09-27,Fornecedor homologado em 2023
26,portal_v1,E443,Southbay Leather B.V.,southbay leather b v,,NL638797541B81,,E268,"irongate ceramics co., ltd.",irongate ceramics,co ltd,,VN,raw_material,2024-02-29,
27,legacy_manual_import,E174,Eastfield Components SARL,eastfield components,sarl,FR58653776073,FR,E151,Crestwood Dyeworks SAS,crestwood dyeworks sas,,,FR,raw_material,2024-03-28,
28,portal_v2,E328,Northgate Machinery Ldt.,northgate machinery,ltd,GB144982519,GB,E133,Cornerstone Alloys B.V.,cornerstone alloys b v,,NL683629854B33,NL,raw_material,2022-08-04,
29,portal_v1,E153,Crestwood Group Ltd,crestwood group,ltd,GB59512698,,E312,millbrook tooling sarl,millbrook tooling,sarl,671609145861330,MA,raw_material,2022-03-29,Fornecedor homologado em 2023
30,portal_v2,E344,Oakridge Fasteners Lda.,oakridge fasteners lda,,PT175750309,PT,E527,Westport Trading A.Ş.,westport trading,a s,9238434939,TR,raw_material,2022-04-19,Fornecedor homologado em 2023
31,portal_v1,E478,Sunrise Leather SARL,sunrise leather,sarl,FR17861973435,FR,E311,Millbrook Solutions Lda,millbrook solutions lda,,,PT,raw_material,2024-01-11,Fournisseur validé lors de l'audit 2022
32,portal_v2,E232,Horizon Manufacturing AG,horizon manufacturing,ag,,DE,E492,UNITED FOUNDRY LDA.,united foundry lda,,PT323269615,PT,raw_material,2024-03-10,Pending re-confirmation
33,portal_v2,E376,Premier Dyeworks A.Ş.,premier dyeworks,a s,6954004320,TR,E147,Crestwodo Chemicals S.p.A.,crestwodo chemicals s p a,,,,dyeing,,
34,portal_v2,E507,vantage circuits s.p.a.,vantage circuits s p a,,IT53333151593,,E281,Lakeside Foundry Sp. z o.o.,lakeside foundry,sp z o o,PL0346729503,PL,materia_prima,2025-01-29,Contact information outdated
35,portal_v2,E094,Bluewater Manufacturing S.r.l.,bluewater manufacturing s rl,,IT10862914220,,E329,"Northgate Polymers Co. ,Ltd.",northgate polymers,co ltd,0TNTW3356HT9DCDKZ7,CN,materia_prima,2025-03-27,Şirket 2021'de denetlendi
36,portal_v2,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,6926242393,VN,E247,Iberian Dyeworsk Inc.,iberian dyeworks,inc,384972853,US,component,2023-07-15,
37,portal_v2,E086,Baltic Trading Ltd.,baltic trading,ltd,GB261367723,GB,E308,Millbrook Machinery Lda.,millbrook machinery lda,,PT95520705,PT,components,2022-08-23,
38,legacy_manual_import,E318,Nordic Fibers SAS,nordic fibers sas,,32114540305,FR,E519,"Westport Leather Co., Ltd.",westport leather,co ltd,6M9BNZNYHPA3BGKNER,CN,materia_prima,2025-02-14,
39,portal_v2,E032,Anatolian Metals SARL,anatolian metals,sarl,FR62182564559,FR,E238,Horizon Solutions Sp z oo,horizon solutions,sp z oo,PL4837332964,,logistics,2022-08-07,Pending re-confirmation
40,portal_v2,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E209,HIGHLAND MACHINERY LTD.,highland machinery,ltd,,,subcontracted_labor,2023-09-09,Şirket 2021'de denetlendi
41,legacy_manual_import,E319,Nordic Materials GmbH,nordic materials,gmbh,DE502141043,DE,E319,Nordic Materials GmbH,nordic materials,gmbh,,DE,finishing,2022-06-09,
42,legacy_manual_import,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E478,Sunrise Leather SARL,sunrise leather,sarl,FR17861973435,FR,raw_material,2023-02-15,
43,portal_v2,E361,Pacific Coatings Ltd,pacific coatings,ltd,GB202514640,GB,E246,Iberian Coatings SAS,iberian coatings sas,,FR67464629486,FR,packaging,2023-07-09,
44,portal_v2,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,94HXCVS3375A1Z5,IN,E488,United Electronics Lda.,united electronics lda,,PT936220143,PT,component,2022-05-28,Société certifiée ISO 9001
45,legacy_manual_import,E463,"Summit Machinery Co., Ltd.",summit machinery,co ltd,9402555543,VN,E208,Hihgland Fibers Ltd.,highland fibers,ltd,GB289869081,GB,component,2025-02-07,Fornecedor homologado em 2023
46,portal_v2,E018,Alpine Materials Ltd.,alpine materials,ltd,GB409940422,GB,E381,"Prime Electronics Co, Ltd",prime electronics,co ltd,,CN,dyeing,2024-02-02,
47,portal_v1,E035,Anatolian Yarns Sp. z o.o.,anatolian yarns,sp z o o,PL0677017673,,E014,Alpine Chemicals SARL,alpine chemicals,sarl,663846623328168,MA,dyeing,2025-06-20,
48,portal_v2,E404,Rhine Tooling AG,rhine tooling,ag,,DE,E421,Silverline Chemicals SAS,silverline chemicals sas,,FR67254489366,FR,components,2025-05-20,Duplicate of prior quarter submission
49,portal_v2,E368,pacific machinery lda.,pacific machinery lda,,PT721441525,PT,E100,Continental Electronics S.r.l.,continental electronics s r l,,IT75114459232,IT,raw_material,2023-08-06,
50,portal_v2,E266,Iberian Tooling Srl,iberian tooling srl,,IT66369023642,,E105,continental group sarl,continental group,sarl,575538294401555,MA,raw_material,2023-11-04,
51,portal_v2,E368,pacific machinery lda.,pacific machinery lda,,PT72144525,PT,E100,Continental Electronics S.r.l.,continental electronics s r l,,IT75114459232,IT,packaging,2023-11-01,Contact information outdated
52,portal_v1,E313,Nordci Materials GmbH,nordci materials,gmbh,DE502141043,,E233,horizon metals sp. z o.o.,horizon metals,sp z o o,PL4768445880,PL,materia_prima,2023-07-31,
53,portal_v2,E292,Meridian Fasteners Ltd.,meridian fasteners,ltd,GB212776106,GB,E318,Nordic Fibers SAS,nordic fibers sas,,FR32114540305,FR,dyeing,2023-06-08,Contrato renovado según acuerdo marco
54,legacy_manual_import,E446,Southbay Logistics S.r.l.,southbay logistics s r l,,IT40684690723,IT,E201,"Golden Packaging Co., Ltd.",golden packaging,co ltd,YMG5T5QGXJM11UYNRE,CN,materia_prima,2022-02-14,Şirket 2021'de denetlendi
55,portal_v1,E069,Atlantic Logistics S.r.l.,atlantic logistics s r l,,IT0407714528,IT,E058,Apex Circuits SpA,apex circuits spa,,IT59296256706,,logistics,2023-04-17,
56,portal_v2,E376,Premier Dyeworks A.Ş.,premier dyeworks,a s,6954004320,TR,E307,Millbrook Fibers Pvt. Ltd.,millbrook fibers,pvt ltd,84WSTJK5150A1Z5,IN,raw_material,2024-06-27,
57,portal_v1,E158,Cretswood Group Ltd.,cretswood group,ltd,,GB,E391,Redstone Chemicals AŞ,redstone chemicals,as,,TR,packaging,2023-12-16,Fornecedor homologado em 2023
58,portal_v2,E069,Atlantic Logistics S.r.l.,atlantic logistics srl,,IT04077145284,IT,E093,Bluewater Manufacturing S.r.l.,bluewater manufacturing s r l,,IT10862914220,IT,materia_prima,2024-12-27,Duplicate of prior quarter submission
59,legacy_manual_import,E421,Silverline Chemicals SAS,silverline chemicals sas,,FR67254489366,FR,E409,Riverside Metals Inc.,riverside metals,inc,,US,packaging,2023-04-20,
60,portal_v2,E045,andean leather pvt. ltd.,andean leather,pvt ltd,02HCGCH6332A1Z5,IN,E513,Vantage Textiles S.A.,vantage textiles,s a,ES30633873E,,subcontracted_labor,2022-01-30,Confirmación pendiente por parte del proveedor
61,portal_v2,E161,Danube Components Sp. z .oo.,danube components,sp z o o,PL8781446242,PL,E410,RiversideC hemicals S.p.A.,riversidec hemicals s p a,,IT17291807684,IT,packaging,2023-03-28,
62,legacy_manual_import,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E252,Iberian Machinery Ltd.,iberian machinery,ltd,,,component,2022-08-09,Fournisseur validé lors de l'audit 2022
63,portal_v2,E295,"Meridian Foundry Co., Ltd.",meridian foundry,co ltd,6936664761,VN,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,94HXCVS3375A1Z5,IN,logistics,,
64,portal_v2,E473,Summit Trading SARL,summit trading asrl,,FR44034462491,FR,E236,Horizon Polymers Sp. z o.o.,horizon polymers,sp z o o,PL0171072146,PL,raw_material,2025-09-05,Duplicate of prior quarter submission
65,portal_v2,E181,Gloabl Ceramics Sp. z o.o.,gloabl ceramics,sp z o o,PL5131340444,,E226,horizon components lda.,horizon components lda,,PT115345152,PT,materia_prima,2022-05-16,"Data provided via phone, not verified"
66,legacy_manual_import,E069,Atlantic Logistics S.r.l.,atlantic logistics s r l,,IT04077145284,IT,E093,Bluewater Manufacturing S.r.l.,bluewater manufacturing s r l,,IT10862914220,IT,raw_material,2024-08-07,
67,legacy_manual_import,E437,Southbay Electronics SARL,southbay electronics,sarl,346652635766034,MA,E517,Westport Electronics SARL,westoprt electronics,sarl,394225258329500,MA,raw_material,2022-06-13,
68,legacy_manual_import,E207,Highland Components SAS,highland components sas,,FR34285656538,FR,E322,Northgat eAssemblies Inc.,northgate assemblies,inc,553358029,US,component,2025-06-29,
69,portal_v2,E508,vantage circuits s.p.a.,vantage circuits s p a,,IT53333151593,IT,E281,Lakeside Foundry Sp. z o.o.,lakeside foundry,sp z o o,PL0346729503,PL,component,2025-09-09,Confirmación pendiente por parte del proveedor
70,legacy_manual_import,E444,southbay leather b.v.,southbay leather b v,,,,E268,"irongate ceramics co., ltd.",irongate ceramics,co ltd,2309407591,VN,finishing,2023-01-18,"Data provided via phone, not verified"
71,portal_v2,E390,Redstone Chemicals Lda.,redstone chemiacls lda,,,PT,E224,Horizon Alloys SARL,horizon alloys,sarl,,MA,materia_prima,2025-01-13,
72,legacy_manual_import,E030,Anatolian Machinery A.Ş.,anatolian machinery,a s,3715490387,TR,E090,Bluewater Dyeworks SAS,bluewater dyeworks sas,,,FR,dyeing,2022-12-27,
73,portal_v2,E301,Meridian Yarns Sp z oo,meridian yarns,sp z o o,PL8435722373,PL,E304,Millbrook Alloys AG,millbrook alloys,ag,DE251791722,DE,logistics,,
74,portal_v2,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,,VN,E034,ANATOLIAN POLYMERS SARL,anatolian polymers,sarl,413403018954648,MA,raw_material,2022-01-25,Duplicate of prior quarter submission
75,portal_v1,E023,Alpine Weaving S.L.,alpine weaving,s l,ES88454746C,ES,E087,Batlic Fibers Ltd.,batlic fibers,ltd,GB655823297,GB,subcontracted_labor,2024-05-15,
76,portal_v1,E469,Summit Metals Lda,summit metals lda,,PT182309739,PT,E248,Iberian Electronics SARL,iberian electronics,sarl,706239917751423,MA,packaging,2023-09-02,Fornecedor homologado em 2023
77,portal_v2,E133,Cornerstone Alloys B.V.,cornerstone alloys b v,,NL683629854B33,NL,E416,Royal Machinery Inc.,royal machinery,inc,227342425,US,subcontracted_labor,,Fornecedor homologado em 2023
78,portal_v2,E438,Southbay Electronics S.A.,southbay electronics,s a,ES7833840D,,E098,Bluewater Tooling Pvt. Ltd.,bluewater tooling,pvt ltd,,IN,component,2022-09-21,
79,portal_v2,E501,VANTAGE ALLOYS SARL,vantage alloys,sarl,,MA,E430,Silverline Materials SAS,silverline materials sas,,,FR,components,2024-06-13,
80,portal_v1,E318,Nordic Fibers SAS,nordic fibers sas,,32114540305,FR,E519,"Westport Leather Co., Ltd.",westport leather,co ltd,6M9BNZNYHPA3BGKNER,CN,raw_material,2023-11-28,
81,portal_v1,E301,Meridian Yarns Sp z oo,meridian yarns,sp z oo,PL8435722373,PL,E304,Millbrook Alloys AG,millbrook alloys,ag,DE251791722,DE,raw_material,2025-08-08,Fournisseur validé lors de l'audit 2022
82,portal_v2,E318,Nordic Fibers SAS,nordic fibers sas,,FR32114540305,FR,E519,"Westport Leather Co., Ltd.",westport leather,co ltd,6M9BNZNYHPA3BGKNER,CN,dyeing,2022-09-25,
83,legacy_manual_import,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,E195,"Global Plastics Co., Ltd.",global plastics,co ltd,7PQ2DJE7EWKPVSC0BR,CN,dyeing,2024-01-08,
84,portal_v2,E255,IBERIAN MATERIALS AG,iberian materials,ag,DE817466807,DE,E123,"Copperfield Foundry Co., Ltd.",copperfield foundry,co ltd,0269417482,VN,finishing,2024-12-18,
85,portal_v2,E404,Rhine Tooling AG,rhine tooling,ag,DE535425961,DE,E079,baltic foundry b.v.,baltic foundry b v,,NL127387209B07,,packaging,2023-06-18,Backup supplier - low volume
86,portal_v2,E501,VANTAGE ALLOYS SARL,vantage alloys,sarl,193008687593586,MA,E272,Irongate Industries S.r.l.,irongate industries s r l,,IT62370499022,IT,logistics,2023-02-26,
87,portal_v2,E161,Danube Components Sp. z .oo.,danube components,sp z oo,PL8781446242,PL,E454,Stonebridge Tooling SARL,stonebridge tooling,sarl,251361799399069,MA,raw_material,2022-07-19,Backup supplier - low volume
88,portal_v2,E171,eastfield alloys gmbh,eastfield alloys,gmbh,DE413376973,,E481,TBD,tbd,,3529838408,VN,dyeing,2022-01-31,
89,portal_v2,E292,Meridian Fasteners Ltd.,meridian fasteners,ltd,GB212776106,GB,E334,Northgate Stele A.Ş.,northgate stele,a s,6256180218,TR,packaging,2023-10-24,
90,portal_v1,E046,"Andean Leather Co., Ltd.",andean leather,co ltd,DNCWF820JL0Q221BH9,CN,E295,"Meridian Foundry Co., Ltd.",meirdian foundry,co ltd,6936664761,VN,subcontracted_labor,2022-08-23,
91,portal_v2,E337,NorthGate Textiles S.A.,northgate textiles,s a,,ES,E104,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,packaging,2022-04-14,
92,portal_v2,E156,crestwood metals sarl,crestwood metals,sarl,976694569801375,MA,E232,Horizon Manufacturing AG,horizon manufacturing,ag,DE431839337,DE,subcontracted_labor,2025-01-18,Contact information outdated
93,portal_v2,E156,crestwood metals sarl,crestwood metals,sarl,976694569801375,MA,E231,Horizon Manufactuirng AG,horizon manufactuirng,ag,DE431839337,,logistics,2024-12-14,
94,portal_v2,E232,Horizon Manufacturing AG,horizon manufacturing,ag,DE431839337,DE,E413,Royal Dyeworks Inc.,royal dyeworks,inc,,US,packaging,2023-01-05,
95,portal_v2,E473,Summit Trading SARL,summit trading,sarl,,FR,E236,Horizon Polymers Sp. z o.o.,horizon polymers sp zo o,,PL0171072146,PL,components,2023-08-22,
96,portal_v2,E495,UNITED LEATHER SP. Z O.O.,united leather,sp z o o,PL084633592,PL,E377,Premier Materials Sp .z o.o.,premier materials,sp z o o,PL5659235740,,packaging,,
97,portal_v2,E227,Horizon Dyeworks AŞ,horizon dyeworks,as,5797626609,TR,E001,###,,,1043205340,VN,raw_material,2023-08-27,
98,legacy_manual_import,E527,Westport Trading A.Ş.,westprot trading,a s,9238434939,TR,E157,"Crestwood Yarns Co., Ltd.",crestwood yarns,co ltd,QDTRK1B2ZX2X1DSSZM,CN,raw_material,2022-04-01,Şirket 2021'de denetlendi
99,portal_v2,E183,Global Alloys SARL,global alloys asrl,,,FR,E127,Copperfield Metals A.Ş.,copperfield metals,a s,991536797,TR,raw_material,2022-02-05,
100,portal_v2,E486,"UNITED ASSEMBLIES CO., LTD.",united assemblies,co ltd,6926242393,VN,E247,Iberian Dyeworsk Inc.,iberian dyeworks,inc,384972853,US,dyeing,,
101,portal_v1,E183,Global Alloys SARL,global alloys,sarl,FR02653954607,FR,E369,Pacific Metals Inc.,pacific meatls,inc,117347262,US,raw_material,2024-09-25,Contact information outdated
102,portal_v2,E024,Alpine Weaving S.L.,alpine weaving,sl,ES88454746C,,E367,"Pacific Machinery Co., Ltd.",pacific machinery,co ltd,4Z7XKKST8VZHE9JLQ5,CN,dyeing,2025-05-28,
103,portal_v1,E183,Global Alloys SARL,global alloys,sarl,FR0265395467,FR,E084,Baltic Trading Ltd.,baltic tarding,ltd,GB261367723,,packaging,2023-06-06,
104,portal_v2,E293,MERIDIAN FASTENERS LTD.,meridian fasteners,ltd,GB212776106,,E174,Eastfield Components SARL,eastfield components,sarl,FR58653776073,FR,subcontracted_labor,2023-11-30,Fournisseur validé lors de l'audit 2022
105,portal_v1,E253,iberian machinery ltd.,iberian machinery,ltd,GB91011652,GB,E162,Danube Components Sp. z o.o.,danube components,sp z o o,PL8781446242,,raw_material,2024-08-10,
106,legacy_manual_import,E404,Rhine Tooling AG,rhine tooling,ag,DE535425961,DE,E016,Alpine Coatings SARL,alpine coatings,sarl,102439281045618,MA,packaging,2025-12-02,Duplicate of prior quarter submission
107,legacy_manual_import,E368,pacific machinery lda.,pacific machniery lda,,PT721441525,PT,E103,Continental Electronics Srl,continental electronics srl,,,IT,packaging,2022-03-28,
108,portal_v1,E068,Atlantic Logistics S.r.l.,atlantic logistics s r l,,IT04077145284,,E449,Southbay Yarns A.Ş.,southbay yarns,a s,0992964398,TR,raw_material,2022-04-23,Société certifiée ISO 9001
109,portal_v2,E125,Copperfield Group SL,copperfield group,sl,,,E321,"Nordic Steel Co., Ltd.",nordic steel,co ltd,8GD5XVJXREAEQ92CHW,CN,component,2025-05-10,Fornecedor homologado em 2023
110,portal_v2,E210,Highland Machinery tLd.,highland machinery,ltd,GB485329247,GB,E164,Danub ePlastics Ltd.,danube plastics,ltd,GB286174002,GB,raw_material,2023-07-18,
111,portal_v2,E189,Global Electronics S.A.,global electronics,s a,ES50165258A,ES,E422,Silverline Componetns SAS,silverline componetns sas,,FR42403927449,FR,components,2024-12-30,Backup supplier - low volume
112,legacy_manual_import,E416,Royal Machinery Inc.,royal machinery,inc,227342425,US,E052,Apex Ceramics Sp z oo,apex ceramics,sp z oo,PL5983766493,,components,2023-02-05,Contact information outdated
113,portal_v2,E213,Highland Plastics S.p.A.,highland plastics s p a,,IT24406348066,IT,E390,Redstone Chemicals Lda.,redstone chemiacls lda,,,PT,dyeing,2023-09-24,"Data provided via phone, not verified"
114,portal_v2,E390,Redstone Chemicals Lda.,redstone chemiacls lda,,,PT,E510,VANTAGE INDUSTRIES GMBH,vantage industries,gmbh,,DE,finishing,2022-07-04,
115,portal_v1,E030,Anatolian Machinery A.Ş.,anatolian machienry,a s,3715490387,TR,E090,Bluewater Dyeworks SAS,bluewater dyweorks sas,,FR60253625246,FR,logistics,2023-08-17,Contrato renovado según acuerdo marco
116,legacy_manual_import,E344,Oakridge Fasteners Lda.,oakridge fasteners lda,,PT175750309,PT,E022,Alpine Tradin gSARL,alpine trading,sarl,274958225941535,MA,component,2024-01-27,
117,portal_v2,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E210,Highland Machinery tLd.,highland machinery,ltd,485329247,GB,finishing,2024-08-31,
118,portal_v2,E350,Oakridge Logistics A.Ş.,oakridge logistics,a s,7963609841,TR,E300,Meridian Weaving Pvt. Ltd.,meridian weaving,pvt ltd,,IN,component,2025-03-14,
119,legacy_manual_import,E295,"Meridian Foundry Co., Ltd.",meridian foundry,co ltd,6936664761,VN,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,94HXCVS3375A1Z5,IN,components,2024-01-10,
120,portal_v2,E337,NorthGate Textiles S.A.,northgate textiles,s a,,ES,E501,VANTAGE ALLOYS SARL,vantage alloys,sarl,193008687593586,MA,raw_material,2025-09-07,Société certifiée ISO 9001
121,portal_v2,E314,Nordci Materials GmbH,nordci materials,gmbh,DE50241043,DE,E233,horizon metals sp. z o.o.,horizon metals,sp z o o,PL4768445880,PL,components,2024-10-09,
122,portal_v1,E038,Andean Assemblies S.p.A.,andean assemblies s p a,,IT38826320735,,E368,pacific machinery lda.,pacific machinery lda,,PT316553290,PT,raw_material,2025-04-28,
123,portal_v2,E502,VANTAGE ALLOYS S.R.L.,vantage alloys s r l,,IT12170074530,IT,E196,GLOBAL YARNS A.Ş.,global yarns,a s,9960677129,TR,raw_material,2022-06-29,Contrato renovado según acuerdo marco
124,portal_v2,E336,NorthGate Textiles S.A.,northgate textiles,s a,ES60227680G,,E205,golden tooling sp. z o.o.,golden tooling,sp z o o,,,subcontracted_labor,2025-03-03,
125,portal_v2,E470,Summit Tooling S.L.,summit tooling,s l,ES17820269F,ES,E165,danube plastics s.a.,danube plastics,s a,ES39891810F,ES,packaging,2024-10-25,"Data provided via phone, not verified"
126,portal_v2,E439,southbay electronics s.a.,southbay electronics,s a,ES78333840D,,E059,Apex Coatings Lda,apex coatings lda,,PT541466438,PT,raw_material,2025-03-18,Şirket 2021'de denetlendi
127,legacy_manual_import,E210,Highland Machinery tLd.,highland machinery tld,,485329247,GB,E164,Danub ePlastics Ltd.,danub eplastics,ltd,GB286174002,GB,raw_material,2024-11-26,
128,legacy_manual_import,E446,Southbay Logistics S.r.l.,southbay logistics s r l,,IT40684690723,IT,E201,"Golden Packaging Co., Ltd.",golden packaging,co ltd,YMG5T5QGXJM11UYNRE,CN,raw_material,2024-01-27,
129,legacy_manual_import,E221,highland weaving a.ş.,highland weaving,a s,8152837670,TR,E234,horizon packaging s.a.,horizon packaging,s a,ES71747066G,,raw_material,2022-06-28,
130,portal_v2,E324,Northgate Circuits Ltd.,northgate circuits,ltd,GB715429489,GB,E452,"Stonebridge Machinery Co., Ltd.",stonebridge machinery,co ltd,5P1Y30A5PDSXVR247B,CN,packaging,2024-11-04,Contrato renovado según acuerdo marco
131,portal_v2,E256,IBERIAN MATERIALS AG,iberian materials,ag,DE81746680,DE,E305,"Millbrook Circuits Co., Ltd.",millbrook circuits,co ltd,,CN,raw_material,2022-06-07,Şirket 2021'de denetlendi
132,legacy_manual_import,E039,Andean Assemblies .Sp.A.,andean assemblies sp a,,,IT,E124,Copperfield Group S.L.,copperfield group,s l,ES02793116B,ES,raw_material,2025-07-01,Contact information outdated
133,portal_v2,E517,Westport Electronics SARL,westoprt electronics,sarl,,MA,E136,Cornerstone Assemblise S.L.,cornerstone assemblies,s l,ES19687479E,,dyeing,2025-08-17,
134,portal_v1,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,94HXCVS3375A1Z5,IN,E479,Sunrise Plastics SARL,sunrise plastics,sarl,891377623634474,MA,raw_material,2023-06-06,
135,portal_v1,E385,Prime Polymers S.L.,prime polymers,s l,ES49180374G,ES,E302,"Meridian Yarns Co., Ltd.",meridian yarns,co ltd,2407709660,VN,logistics,2024-05-22,
136,portal_v2,E517,Westport Electronics SARL,westport electronics,sarl,394225258329500,MA,E136,Cornerstone Assemblise S.L.,cornerstone assemblise,s l,ES19687479E,,raw_material,2022-04-24,
137,legacy_manual_import,E301,Meridian Yarns Sp z oo,meridian yarns,sp z oo,PL8435722373,PL,E304,Millbrook Alloys AG,millbrook alloys,ag,DE251791722,DE,packaging,2025-09-17,
138,legacy_manual_import,E267,Irongate Alloys A.Ş.,irongate alloys,a s,6888337780,TR,E411,ROYAL COATINGS S.L.,royal coatings,s l,,,raw_material,2024-11-13,
