entity_id,canonical_name,core_name,legal_suffix,tax_id,country,raw_variants,mention_count
E077,Bluewater Tooling Pvt. Ltd.,bluewater tooling,pvt ltd,11OPZCC7788A1Z5,IN,BLUEWATER TOOLING PVT. LTD. | Bluewater Tooling Pvt Ltd | Bluewater Tooling Pvt. Ltd. | Bluewater Toolnig Pvt. Ltd. | bluewater tooling pvt. ltd.,5
E078,bluewater trading inc.,bluewater trading,inc,939313119,US,BLUEWATER TRADING INC. | Bluewater Trading Inc. | bluewater trading inc.,4
E079,Continental Electronics S.r.l.,continental electronics s r l,,75114459232,IT,CONTINENTAL ELECTRONICS S.R.L. | Continental Electronics S.r.l. | continental electronics s.r.l.,4
E080,CONTINENTAL ELECTRONICS S.R.L.,continental electronics s r l,,7511445932,IT,CONTINENTAL ELECTRONICS S.R.L.,1
E081,Continental Electronics Srl,continental electronics srl,,,IT,Continental Electronics Srl,1
E082,Continental Fasteners SARL,continental fasteners,sarl,524296237088409,MA,CONTINENTAL FASTENERS SARL | Continental Fasteners SARL | Continental Fastenesr SARL | continental fasteners sarl,30
E083,continental group sarl,continental group,sarl,575538294401555,MA,CONTINENTAL GROUP SARL | Continental Group SARL | ContinentalG roup SARL | continental group sarl,12
E084,CONTINENTAL PACKAGING S.P.A.,continental packaging s p a,,26573980619,IT,CONTINENTAL PACKAGING S.P.A. | continental packaging s.p.a.,3
E085,Continental Packaging SpA,continental packaging spa,,,IT,Continental Packaging SpA,2
E086,Contienntal Textiles Pvt. Ltd.,contienntal textiles,pvt ltd,29YKHST4465A1Z5,IN,CONTINENTAL TEXTILES PVT. LTD. | Contienntal Textiles Pvt. Ltd. | Continental Textiles Pvt Ltd | Continental Textiles Pvt. Ltd.,10
E087,"Continental Tooling Co., Ltd.",continental tooling,co ltd,EJ377BC7RJZUZ0NFWL,CN,"Continental Tooling Co., Ltd. | Continental Tooling oC., Ltd.",5
E088,Continental Weaving B.V.,continental weaving b v,bv,346920737B67,NL,Continental Weaving B.V. | Continental Weaving BV | continental weaving b.v.,5
E089,CONTINENTAL WEAVING S.P.A.,continental weaving s p a,,21371287442,IT,CONTINENTAL WEAVING S.P.A. | Continental Weaving S.p.A.,3
E090,"Copperfield Alloys Co., Ltd.",copperfield alloys,co ltd,LQHUJWRG88MSHM9299,CN,"COPPERFIELD ALLOYS CO., LTD. | Copperfield Alloys Co, Ltd | Copperfield Alloys Co., Ltd.",5
E091,Copperfield Dyeworks Pvt. Ltd.,copperfield dyeworks,pvt ltd,56IJOUL3230A1Z5,IN,COPPERFIELD DYEWORKS PVT. LTD. | Copperfield Dyeworks Pvt Ltd | Copperfield Dyeworks Pvt. Ltd. | copperfield dyeworks pvt. ltd.,9
E092,Copperfield Dyeworks Pvt. Ldt.,copperfield dyeworks pvt ldt,,,IN,Copperfield Dyeworks Pvt. Ldt.,1
E093,Copperfield Fasteners GmbH,copperfield fasteners,gmbh,713595939,DE,COPPERFIELD FASTENERS GMBH | Copperfeild Fasteners GmbH | Copperfield Fasteners GmbH | copperfield fasteners gmbh,5
E094,Copperfield Fasteners GmbH,copperfield fasteners,gmbh,,,Copperfield Fasteners GmbH,1
E095,Copperfield Fibers Lda.,copperfield fibers lda,,151483512,PT,COPPERFIELD FIBERS LDA. | Copperfield Fibers Lda. | Copperfiled Fibers Lda.,6
E096,"Copperfield Foundry Co., Ltd.",copperfield foundry,co ltd,0269417482,VN,"Copperfield Foundry Co., Ltd. | copperfield foundry co., ltd.",3
E097,Copperfield Group S.L.,copperfield group,s l,02793116B,ES,COPPERFIELD GROUP S.L. | Coppefrield Group S.L. | Copperfield Group S.L. | Copperfield Group SL | copperfield group s.l.,15
E098,Copperfield Metals A.Ş.,copperfield metals,a s,991853679,TR,COPPERFIELD METALS A.Ş. | Copperfield Metals A.Ş. | Copperfield Metals AŞ | copperfield metals a.ş.,14
E099,COPPERFIELD PACKAGING AG,copperfield packaging,ag,990333248,DE,COPPERFIELD PACKAGING AG | Copperfield Packaging AG,3
E100,Copperfield Steel Lda.,copperfield steel lda,,830235629,PT,Copperfield Steel Lda | Copperfield Steel Lda.,2
E101,copperfield weaving pvt. ltd.,copperfield weaving,pvt ltd,45UXLVQ3410A1Z5,IN,Copperfield Weaving Pvt Ltd | Copperfield Weaving Pvt. Ltd. | copperfield weaving pvt. ltd.,6
E102,"CopperfieldA lloys Co., Ltd.",copperfielda lloys,co ltd,LQHUJWRG88MSHM9299,CN,"CopperfieldA lloys Co., Ltd.",1
E103,Cornerstone Alloys B.V.,cornerstone alloys b v,bv,683629854B33,NL,CORNERSTONE ALLOYS B.V. | Cornerstone Alloys B.V. | Cornerstone Alloys BV | cornerstone alloys b.v.,17
E104,Cornerstone Alloys B.V.,cornerstone alloys b v,,,,Cornerstone Alloys B.V.,1
E105,Cornerstone Assemblies S.L.,cornerstone assemblies,s l,19687479E,ES,Cornerstone Assemblies S.L. | Cornerstone Assemblise S.L.,4
E106,Cornerstone Assemblise S.L.,cornerstone assemblise,s l,1987479E,ES,Cornerstone Assemblise S.L.,1
E107,CORNERSTONE FASTENERS S.A.,cornerstone fasteners,s a,20546820H,ES,CORNERSTONE FASTENERS S.A. | Cornerstnoe Fasteners S.A. | Cornerstone Fasteners S.A. | Cornerstone Fasteners SA,15
E108,cornerstone foundry s.r.l.,cornerstone foundry s r l,,91202848475,IT,CORNERSTONE FOUNDRY S.R.L. | cornerstone foundry s.r.l.,5
E109,CORNERSTONE FOUNDRY S.R.L.,cornerstone foundry s r l,,,,CORNERSTONE FOUNDRY S.R.L.,1
E110,Cpoperfield Metals A.Ş.,cpoperfield metals,a s,9918536797,TR,Cpoperfield Metals A.Ş.,2
E111,Cpoperfield Steel Lda.,cpoperfield steel lda,,830235629,PT,Cpoperfield Steel Lda.,1
E112,Crestwodo Chemicals S.p.A.,crestwodo chemicals s p a,,,,Crestwodo Chemicals S.p.A.,1
E113,Crestwodo Chemicals S.p.A.,crestwodo chemicals s p a,,41098499897,IT,Crestwodo Chemicals S.p.A. | crestwood chemicals s.p.a.,4
E114,Crestwood Caotings Lda.,crestwood coatings lda,,869464903,PT,Crestwood Caotings Lda. | crestwood coatings lda.,3
E115,Crestwood Dyeworks SAS,crestwood dyeworks sas,,04397040587,FR,Crestwood Dyeworks SAS | crestwood dyeworks sas,4
E116,Crestwood eMtals SARL,crestwood emtals,sarl,,MA,Crestwood eMtals SARL,1
E117,Crestwood Group Ltd,crestwood group,ltd,59512698,,Crestwood Group Ltd,1
E118,crestwood group ltd.,crestwood group,ltd,59512269,,crestwood group ltd.,1
E119,Crestwood Group Ltd.,crestwood group,ltd,595122698,GB,CRESTWOOD GROUP LTD. | Crestwood Group Ltd | Crestwood Group Ltd. | crestwood group ltd.,8
E120,crestwood metals sarl,crestwood metals,sarl,976694569801375,MA,CRESTWOOD METALS SARL | Crestwood Metals SARL | crestwood metals sarl,9
E121,"Crestwood Yarns Co., Ltd.",crestwood yarns,co ltd,QDTRK1B2ZX2X1DSSZM,CN,"Crestwood Yarns Co., Ltd. | crestwood yarns co., ltd.",3
E122,Cretswood Group Ltd.,cretswood group,ltd,,GB,Cretswood Group Ltd.,1
E123,Cretswood Group Ltd.,cretswood group,ltd,595122698,,Cretswood Group Ltd.,1
E124,Danube Components Sp. z o.o.,danube components,sp z o o,8781446242,PL,DANUBE COMPONENTS SP. Z O.O. | Danube Components Sp z oo | Danube Components Sp. z .oo. | Danube Components Sp. z o.o. | danube components sp. z o.o.,19
E125,Danub ePlastics Ltd.,danube plastics,ltd,286174002,GB,Danub ePlastics Ltd. | Danube Plastics Ltd | Danube Plastics Ltd. | danube plastics ltd.,10
E126,danube plastics s.a.,danube plastics,s a,39891810F,ES,Danube Plastics S.A. | DanubeP lastics S.A. | danube plastics s.a.,5
E127,Danube Plastics Ltd,danube plastics,ltd,,,Danube Plastics Ltd | Danube Plastics Ltd.,3
E128,Danube Steel A.Ş.,danube steel,a s,9576837507,TR,Danube Steel A.Ş. | Danube Steel AŞ | danube steel a.ş.,5
E129,Danube Tooling S.r.l.,danube tooling s r l,,40418653428,IT,Danube Tooling S.r.l.,4
E130,eastfield alloys gmbh,eastfield alloys,gmbh,413376973,DE,EASTFIELD ALLOYS GMBH | Eastfield Alloys GmbH | eastfield alloys gmbh,8
E131,eastfield alloys gmbh,eastfield alloys,gmbh,41376973,,eastfield alloys gmbh,1
E132,Eastfield Components SARL,eastfield components,sarl,58653776073,FR,EASTFIELD COMPONENTS SARL | Eastfield Components SARL | Eastifeld Components SARL | eastfield components sarl,21
E133,EASTFIELD GROUP GMBH,eastfield group,gmbh,632131355,DE,EASTFIELD GROUP GMBH | Eastfield Grou pGmbH | Eastfield Group GmbH,5
E134,EASTFIELD GROUP GMBH,eastfield group,gmbh,,,EASTFIELD GROUP GMBH,1
E135,eastfield machinery s.p.a.,eastfield machinery s p a,,76445972558,IT,Eastfield Machinery S.p.A. | Eastfield Macihnery S.p.A. | eastfield machinery s.p.a.,6
E136,EastfieldA lloys GmbH,eastfielda lloys,gmbh,413376973,,EastfieldA lloys GmbH,3
E137,EastfieldL eather SAS,eastfieldl eather sas,,18801882497,FR,EASTFIELD LEATHER SAS | EastfieldL eather SAS | eastfield leather sas,5
E138,Global Ceramics Sp. z o.o.,gloabl ceramics,sp z o o,5131340444,PL,GLOBAL CERAMICS SP. Z O.O. | Gloabl Ceramics Sp. z o.o. | Global Ceramics Sp. z o.o. | global ceramics sp. z o.o.,14
E139,Global Alloys SARL,global alloys,sarl,02653954607,FR,GLOBAL ALLOYS SARL | Global Alloys ASRL | Global Alloys SARL | global alloys sarl,24
E140,Global Ceramics Sp. z o.o.,global ceramics,sp z o o,531340444,PL,Global Ceramics Sp. z o.o.,1
E141,Global Ceramics Sp z oo,global ceramics,sp z oo,,,GLOBAL CERAMICS SP. Z O.O. | Global Ceramics Sp z oo,2
E142,Global Circuits GmbH,global circuits,gmbh,720227574,DE,Global Circuits GbmH | Global Circuits GmbH | global circuits gmbh,5
E143,Global Electronics S.A.,global electronics,sa,50165258A,ES,GLOBAL ELECTRONICS S.A. | Global Electronics S.A. | Global Electronics SA | global electronics s.a.,15
E144,Global Fasteners .BV.,global fasteners,bv,794629071B40,,Global Fasteners .BV.,1
E145,Global Fasteners B.V.,global fasteners b v,,,NL,Global Fasteners B.V.,1
E146,global fasteners b.v.,global fasteners b v,,,,global fasteners b.v.,1
E147,Global Metals Inc.,global metals,inc,078555313,US,GLOBAL METALS INC. | Global Metals Inc | Global Metals Inc. | Global Metasl Inc. | global metals inc.,7
E148,"Global Plastics Co., Ltd.",global plastics,co ltd,7PQ2DJE7EWKPVSC0BR,CN,"Global Plastics Co., Ltd. | global plastics co., ltd.",4
E149,GLOBAL YARNS A.Ş.,global yarns,a s,9960677129,TR,GLOBAL YARNS A.Ş. | Global Yarns .AŞ. | Global Yarns A.Ş. | global yarns a.ş.,7
E150,Global Yarns A.Ş.,global yarns,a s,990677129,TR,Global Yarns A.Ş.,1
E151,GlobalE lectronics S.A.,globale lectronics,s a,50165258A,ES,GlobalE lectronics S.A.,5
E152,Golden Chemicals SAS,golden chemicals sas,,27698351396,FR,Golden Chemicals SAS | golden chemicals sas,5
E153,"Golden Packaging Co., Ltd.",golden packaging,co ltd,YMG5T5QGXJM11UYNRE,CN,"GOLDEN PACKAGING CO., LTD. | Golden Packaging Co, Ltd | Golden Packaging Co., Ltd. | Golden Packaging Co.,L td.",6
E154,GOLDEN STEEL SARL,golden steel,sarl,012089444331070,MA,GOLDEN STEEL SARL | Golden Steel SARL,3
E155,Golden Steel SARL,golden steel,sarl,2089444331070,MA,Golden Steel SARL,1
E156,Golden Tooling Sp. z o.o.,golden tooling,sp z o o,2144229485,PL,GOLDEN TOOLING SP. Z O.O. | Godlen Tooling Sp. z o.o. | Golden Tooling Sp z oo | Golden Tooling Sp. z o.o. | golden tooling sp. z o.o.,19
E157,golden tooling sp. z o.o.,golden tooling,sp z o o,,,Golden Tooling Sp. z o.o. | golden tooling sp. z o.o.,2
E158,Highland Components SAS,highland components sas,,34285656538,FR,HIGHLAND COMPONENTS SAS | Highland Components ASS | Highland Components SAS | highland components sas,14
E159,Hihgland Fibers Ltd.,highland fibers,ltd,289869081,GB,Highland Fibers Ltd | Hihgland Fibers Ltd. | highland fibers ltd.,4
E160,HIGHLAND MACHINERY LTD.,highland machinery,ltd,,,HIGHLAND MACHINERY LTD.,1
E161,Highland Machinery tLd.,highland machinery,ltd,485329247,GB,HIGHLAND MACHINERY LTD. | Highland Machinery Ltd | Highland Machinery Ltd. | Highland Machinery tLd. | highland machinery ltd.,17
E162,Highland Mcahinery SARL,highland mcahinery,sarl,172575982337100,MA,Highland Machinery SARL | Highland Mcahinery SARL | highland machinery sarl,5
E163,highland plastics s.p.a.,highland plastics s p a,,24406348066,IT,HIGHLAND PLASTICS S.P.A. | Highland Plastics S.p.A. | Highland Plastics SpA | Hihgland Plastics S.p.A. | highland plastics s.p.a.,21
E164,highland plastics s.p.a.,highland plastics s p a,,,,highland plastics s.p.a.,1
E165,Highland Plastics SpA,highland plastics spa,,2440648066,IT,Highland Plastics SpA,1
E166,Highland Steel Sp. z o.o.,highland steel,sp z oo,7859126165,PL,Highland Steel Sp z oo | Highland Steel Sp. z .oo. | Highland Steel Sp. z o.o. | highland steel sp. z o.o.,11
E167,"Highland oToling Co., Ltd.",highland tooling,co ltd,G9GDNTQUXZJWLN2EV6,CN,"HIGHLAND TOOLING CO., LTD. | Highland Tooling Co, Ltd | Highland Tooling Co., Ltd. | Highland oToling Co., Ltd. | highland tooling co., ltd.",17
E168,highland weaving a.ş.,highland weaving,a s,8152837670,TR,HIGHLAND WEAVING A.Ş. | Highland Weaving A.Ş. | Highland Weaving AŞ | highland weaving a.ş.,12
E169,"Hoirzon Weaving Co., Ltd.",hoirzon weaving,co ltd,2K2JHK5BH36K3HTFHF,CN,"Hoirzon Weaving Co., Ltd. | Horizon Weaving Co., Ltd. | horizon weaving co., ltd.",3
E170,Horizo nAlloys SARL,horizo nalloys,sarl,381866192115924,MA,Horizo nAlloys SARL,4
E171,Horizon Alloys SARL,horizon alloys,sarl,381866192115924,MA,HORIZON ALLOYS SARL | Horizon Alloys SARL | horizon alloys sarl,19
E172,horizon components pvt. ltd.,horizon components,pvt ltd,53EXTRH3159A1Z5,IN,HORIZON COMPONENTS PVT. LTD. | horizon components pvt. ltd.,3
E173,horizon components lda.,horizon components lda,,115345152,PT,Horizon Components Lda | Horizon Components Lda. | horizon components lda.,3
E174,Horizon Dyeworks AŞ,horizon dyeworks,as,5797626609,TR,HORIZON DYEWORKS A.Ş. | Horizon Dyeworks A.Ş. | Horizon Dyeworks AŞ | horizon dyeworks a.ş.,10
E175,HORIZON MACHINERY S.P.A.,horizon machinery s p a,,,,HORIZON MACHINERY S.P.A.,1
E176,Horizon Machinery SpA,horizon machinery spa,,93706601345,IT,HORIZON MACHINERY S.P.A. | Horizon Machinery S.p.A. | Horizon Machinery SpA,3
E177,Horizon Manufactuirng AG,horizon manufacturing,ag,431839337,DE,HORIZON MANUFACTURING AG | Horizon Manufactuirng AG | Horizon Manufacturing AG | horizon manufacturing ag,16
E178,horizon metals sp. z o.o.,horizon metals,sp z o o,4768445880,PL,HORIZON METALS SP. Z O.O. | Horizon Metals Sp z oo | Horizon Metals Sp. z o.o. | horizon metals sp. z o.o.,8
E179,HORIZON PACKAGING S.A.,horizon packaging,s a,71747066G,ES,HORIZON PACKAGING S.A. | Horizon Packaging S.A. | Horizon Packaging SA | Horizon Packagnig S.A. | horizon packaging s.a.,6
E180,Horizon Polymers Sp. z o.o.,horizon polymers,sp z o o,0171072146,PL,Horizon Polymers Sp z oo | Horizon Polymers Sp. z o.o. | Horizon Polymers Sp. zo.o.,5
E181,HORIZON SOLUTIONS SP. Z O.O.,horizon solutions,sp z oo,4837332964,PL,HORIZON SOLUTIONS SP. Z O.O. | Horizon Solutions Sp z oo | Horizon Solutions Sp. z o.o. | Horzion Solutions Sp. z o.o. | horizon solutions sp. z o.o.,14
E182,Horizon Solutions Inc.,horizon solutions,inc,943330230,US,HORIZON SOLUTIONS INC. | Horizon Solutions Inc.,6
E183,HORIZON SOLUTIONS INC.,horizon solutions,inc,43330230,US,HORIZON SOLUTIONS INC.,1
E184,Horizon Solutions Lda.,horizon solutions lda,,196215509,PT,Horizon Solutions Lda. | horizon solutions lda.,4
E185,Horizon Steel Lda.,horizon steel lda,,702711595,PT,Horizon Steel Lda | Horizon Steel Lda.,6
E186,Horizon yDeworks A.Ş.,horizon ydeworks,a s,5797626609,TR,Horizon yDeworks A.Ş.,4
E187,"Iberian Assemblies Co., Ltd.",iberian assemblies,co ltd,K54AWTVW783SWDM5XV,CN,"IBERIAN ASSEMBLIES CO., LTD. | Iberian Assemblies Co, Ltd | Iberian Assemblies Co., Ltd. | iberian assemblies co., ltd.",6
E188,Iberian Coatings SAS,iberian coatings sas,,67464629486,FR,Iberian Coatings SAS | Iberian Cotaings SAS | iberian coatings sas,3
